2,01
2,02
2,03
2,04
2,07
2,08
2,09
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
3,31
3,32
3,33
3,34
3,36
4,07
4,08
4,09
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
4,19
4,20
4,21
5,01
5,02
5,03
5,04
5,05
5,06
5,07
5,08
5,09
5,10
5,11
5,12
5,13
5,14
5,15
5,16
6,03
6,04
6,05
6,06
6,07
6,08
6,09
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
6,18
6,19
6,20
6,21
7,01
7,02
7,03
7,04
7,05
7,06
7,07
7,08
7,09
7,10
7,11
7,12
7,13
7,14
7,15
7,16
7,17
7,18
7,19
7,20
7,21
7,22
7,23
7,24
7,25
7,26
7,27
7,28
7,29
7,30
7,31
7,32
7,33
7,34
7,35
8,01
8,02
8,03
8,04
8,05
8,06
8,07
8,08
8,09
8,10
8,11
8,12
8,13
8,14
8,15
8,16
8,17
8,18
8,19
8,20
8,21
8,22
8,23
8,24
8,25
8,26
8,27
8,28
8,29
8,30
8,31
8,32
8,33
8,34
8,35
